Code,BlockId,Title,ClassKind,DepthInKind,IsResidual,PrimaryLocation,ChapterNo,BrowserLink,iCatLink,isLeaf,noOfNonResidualChildren,Primary tabulation,Grouping1,Grouping2,Grouping3,Grouping4,Grouping5,Version:2023 Jan 05 - 22:30 UTC
,,Certain infectious or parasitic diseases,chapter,1,False,True,01,browser,iCat,False,22,,,,,,,
,BlockL1-1A0,- Gastroenteritis or colitis of infectious origin,block,1,False,True,01,browser,iCat,False,5,,,,,,,
,BlockL2-1A0,- - Bacterial intestinal infections,block,2,False,True,01,browser,iCat,False,10,,BlockL1-1A0,,,,,
1A00,,- - - Cholera,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
1A01,,- - - Intestinal infection due to other Vibrio,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
1A02,,- - - Intestinal infections due to Shigella,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
1A03,,- - - Intestinal infections due to Escherichia coli,category,1,False,True,01,browser,iCat,False,4,True,BlockL1-1A0,BlockL2-1A0,,,,
1A03.0,,- - - - Enteropathogenic Escherichia coli infection,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
1A03.1,,- - - - Enterotoxigenic Escherichia coli infection,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
1A03.2,,- - - - Enteroinvasive Escherichia coli infection,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
1A03.3,,- - - - Enterohaemorrhagic Escherichia coli infection,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
1A03.Y,,- - - - Intestinal infections due to other specified Escherichia coli,category,2,True,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
1A03.Z,,"- - - - Intestinal infections due to Escherichia coli, unspecified",category,2,True,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
1A04,,- - - Intestinal infections due to Clostridioides difficile,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
1A05,,- - - Intestinal infections due to Yersinia enterocolitica,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
1A06,,- - - Gastroenteritis due to Campylobacter,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
1A07,,- - - Typhoid fever,category,1,False,True,01,browser,iCat,False,1,True,BlockL1-1A0,BlockL2-1A0,,,,
1A07.0,,- - - - Typhoid peritonitis,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
1A07.Y,,- - - - Other specified typhoid fever,category,2,True,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
1A07.Z,,"- - - - Typhoid fever, unspecified",category,2,True,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
1A08,,- - - Paratyphoid fever,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
1A09,,- - - Infections due to other Salmonella,category,1,False,True,01,browser,iCat,False,1,True,BlockL1-1A0,BlockL2-1A0,,,,
1A09.0,,- - - - Salmonella enteritis,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
1A09.Y,,- - - - Infections due to other Salmonella in other organs,category,2,True,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
1A09.Z,,"- - - - Salmonella infection, unspecified",category,2,True,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
1A0Y,,- - - Other specified bacterial intestinal infections,category,1,True,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
1A0Z,,"- - - Bacterial intestinal infections, unspecified",category,1,True,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A0,,,,
,BlockL2-1A1,- - Bacterial foodborne intoxications,block,2,False,True,01,browser,iCat,False,4,,BlockL1-1A0,,,,,
1A10,,- - - Foodborne staphylococcal intoxication,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A1,,,,
1A11,,- - - Botulism,category,1,False,True,01,browser,iCat,False,2,True,BlockL1-1A0,BlockL2-1A1,,,,
1A11.0,,- - - - Foodborne intoxication by botulinum toxin,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A1,,,,
1A11.1,,- - - - Other forms of botulism,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A1,,,,
1A11.Z,,"- - - - Botulism, unspecified",category,2,True,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A1,,,,
1A12,,- - - Foodborne Clostridium perfringens intoxication,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A1,,,,
1A13,,- - - Foodborne Bacillus cereus intoxication,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A1,,,,
1A1Y,,- - - Other specified bacterial foodborne intoxications,category,1,True,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A1,,,,
1A1Z,,"- - - Bacterial foodborne intoxications, unspecified",category,1,True,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A1,,,,
,BlockL2-1A2,- - Viral intestinal infections,block,2,False,True,01,browser,iCat,False,5,,BlockL1-1A0,,,,,
1A20,,- - - Enteritis due to Adenovirus,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A2,,,,
1A21,,- - - Gastroenteritis due to Astrovirus,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A2,,,,
1A22,,- - - Gastroenteritis due to Rotavirus,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A2,,,,
1A23,,- - - Enteritis due to Norovirus,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A2,,,,
1A24,,- - - Intestinal infections due to Cytomegalovirus,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A2,,,,
1A2Y,,- - - Other specified viral intestinal infections,category,1,True,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A2,,,,
1A2Z,,"- - - Viral intestinal infections, unspecified",category,1,True,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A2,,,,
,BlockL2-1A3,- - Protozoal intestinal infections,block,2,False,True,01,browser,iCat,False,7,,BlockL1-1A0,,,,,
1A30,,- - - Infections due to Balantidium coli,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A3,,,,
1A31,,- - - Giardiasis,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A3,,,,
1A32,,- - - Cryptosporidiosis,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A3,,,,
1A33,,- - - Cystoisosporiasis,category,1,False,True,01,browser,iCat,False,2,True,BlockL1-1A0,BlockL2-1A3,,,,
1A33.0,,- - - - Cystoisosporiasis of small intestine,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A3,,,,
1A33.1,,- - - - Cystoisosporiasis of colon,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A3,,,,
1A33.Y,,- - - - Other specified cystoisosporiasis,category,2,True,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A3,,,,
1A33.Z,,"- - - - Cystoisosporiasis, unspecified",category,2,True,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A3,,,,
1A34,,- - - Sarcocystosis,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A3,,,,
1A35,,- - - Blastocystosis,category,1,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A3,,,,
1A36,,- - - Amoebiasis,category,1,False,True,01,browser,iCat,False,2,True,BlockL1-1A0,BlockL2-1A3,,,,
1A36.0,,- - - - Intestinal infections due to Entamoeba,category,2,False,True,01,browser,iCat,False,2,True,BlockL1-1A0,BlockL2-1A3,,,,
1A36.00,,- - - - - Acute amoebiasis,category,3,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A3,,,,
1A36.01,,- - - - - Amoeboma of intestine,category,3,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A3,,,,
1A36.0Z,,"- - - - - Intestinal infections due to Entamoeba, unspecified",category,3,True,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A3,,,,
1A36.1,,- - - - Extraintestinal infections due to Entamoeba,category,2,False,True,01,browser,iCat,False,3,True,BlockL1-1A0,BlockL2-1A3,,,,
1A36.10,,- - - - - Amoebic liver abscess,category,3,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A3,,,,
1A36.11,,- - - - - Amoebic lung abscess,category,3,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A3,,,,
1A36.12,,- - - - - Cutaneous amoebiasis,category,3,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A3,,,,
1A36.1Y,,- - - - - Amoebiasis of other specified sites,category,3,True,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A3,,,,
1A36.Z,,"- - - - Amoebiasis, unspecified",category,2,True,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A3,,,,
1A3Y,,- - - Other specified protozoal intestinal infections,category,1,True,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A3,,,,
1A3Z,,"- - - Protozoal intestinal infections, unspecified",category,1,True,True,01,browser,iCat,True,0,True,BlockL1-1A0,BlockL2-1A3,,,,
1A40,,- - Gastroenteritis or colitis without specification of infectious agent,category,1,False,True,01,browser,iCat,False,1,True,BlockL1-1A0,,,,,
1A40.0,,- - - Gastroenteritis or colitis without specification of origin,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-1A0,,,,,
1A40.Z,,- - - Infectious gastroenteritis or colitis without specification of infectious agent,category,2,True,True,01,browser,iCat,True,0,True,BlockL1-1A0,,,,,
,BlockL1-1A6,- Predominantly sexually transmitted infections,block,1,False,True,01,browser,iCat,False,10,,,,,,,
,BlockL2-1A6,- - Syphilis,block,2,False,True,01,browser,iCat,False,4,,BlockL1-1A6,,,,,
1A60,,- - - Congenital syphilis,category,1,False,True,01,browser,iCat,False,6,True,BlockL1-1A6,BlockL2-1A6,,,,
1A60.0,,"- - - - Early congenital syphilis, symptomatic",category,2,False,True,01,browser,iCat,True,0,True,BlockL1-1A6,BlockL2-1A6,,,,
1A60.1,,"- - - - Early congenital syphilis, latent",category,2,False,True,01,browser,iCat,True,0,True,BlockL1-1A6,BlockL2-1A6,,,,
1A60.2,,- - - - Late congenital syphilitic oculopathy,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-1A6,BlockL2-1A6,,,,
1A60.3,,- - - - Late congenital neurosyphilis,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-1A6,BlockL2-1A6,,,,
1A60.4,,"- - - - Other late congenital syphilis, symptomatic",category,2,False,True,01,browser,iCat,True,0,True,BlockL1-1A6,BlockL2-1A6,,,,
1A60.5,,"- - - - Late congenital syphilis, latent",category,2,False,True,01,browser,iCat,True,0,True,BlockL1-1A6,BlockL2-1A6,,,,
1A60.Z,,"- - - - Congenital syphilis, unspecified",category,2,True,True,01,browser,iCat,True,0,True,BlockL1-1A6,BlockL2-1A6,,,,
1A61,,- - - Early syphilis,category,1,False,True,01,browser,iCat,False,6,True,BlockL1-1A6,BlockL2-1A6,,,,
1A61.0,,- - - - Primary genital syphilis,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-1A6,BlockL2-1A6,,,,
1A61.1,,- - - - Primary anal syphilis,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-1A6,BlockL2-1A6,,,,
1A61.2,,- - - - Primary syphilis of other sites,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-1A6,BlockL2-1A6,,,,
1A61.3,,- - - - Secondary syphilis of skin or mucous membranes,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-1A6,BlockL2-1A6,,,,
1A61.4,,- - - - Secondary syphilis of other sites,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-1A6,BlockL2-1A6,,,,
1A61.5,,- - - - Latent early syphilis,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-1A6,BlockL2-1A6,,,,
1A61.Y,,- - - - Other specified early syphilis,category,2,True,True,01,browser,iCat,True,0,True,BlockL1-1A6,BlockL2-1A6,,,,
1A61.Z,,"- - - - Early syphilis, unspecified",category,2,True,True,01,browser,iCat,True,0,True,BlockL1-1A6,BlockL2-1A6,,,,
1A62,,- - - Late syphilis,category,1,False,True,01,browser,iCat,False,3,True,BlockL1-1A6,BlockL2-1A6,,,,
1A62.0,,- - - - Neurosyphilis,category,2,False,True,01,browser,iCat,False,2,True,BlockL1-1A6,BlockL2-1A6,,,,
1A62.00,,- - - - - Asymptomatic neurosyphilis,category,3,False,True,01,browser,iCat,True,0,True,BlockL1-1A6,BlockL2-1A6,,,,
1A62.01,,- - - - - Symptomatic late neurosyphilis,category,3,False,True,01,browser,iCat,True,0,True,BlockL1-1A6,BlockL2-1A6,,,,
1A62.0Z,,"- - - - - Neurosyphilis, unspecified",category,3,True,True,01,browser,iCat,True,0,True,BlockL1-1A6,BlockL2-1A6,,,,
1A62.1,,- - - - Cardiovascular late syphilis,category,2,False,True,01,browser,iCat,True,0,True,BlockL1-1A6,BlockL2-1A6,,,,
1A62.2,,- - - - Symptomatic late syphilis of other sites,category,2,False,True,01,browser,iCat,False,3,True,BlockL1-1A6,BlockL2-1A6,,,,
1A62.20,,- - - - - Ocular late syphilis,category,3,False,True,01,browser,iCat,True,0,True,BlockL1-1A6,BlockL2-1A6,,,,
1A62.21,,- - - - - Late syphilis involving the musculoskeletal system,category,3,False,True,01,browser,iCat,True,0,True,BlockL1-1A6,BlockL2-1A6,,,,
1A62.22,,- - - - - Late syphilis of skin or mucous membranes,category,3,False,True,01,browser,iCat,True,0,True,BlockL1-1A6,BlockL2-1A6,,,,
1A62.2Y,,- - - - - Symptomatic late syphilis of other specified sites,category,3,True,True,01,browser,iCat,True,0,True,BlockL1-1A6,BlockL2-1A6,,,,
